#,Job Name,position oracle id,candidate name,email,id name,mobile number,candidate type,job id,candidate id,stage,stage start date,stage end date,interview date,joining date,added by
4,Agent,,Amanda Doe,amandadoe@mailinator.com,3535443432,+966523453534,contractual,60,190,Selected,07 Mar 2022 10:11:36,07 Mar 2022 10:12:53,16 Mar 2022,,Agency Manager
5,Agent,,Amanda Doe,amandadoe@mailinator.com,3535443432,+966523453534,contractual,60,190,Interview,07 Mar 2022 10:12:53,07 Mar 2022 10:19:34,16 Mar 2022,,Mohamed Yakout
6,Agent,,Amanda Doe,amandadoe@mailinator.com,3535443432,+966523453534,contractual,60,190,PassInterview,07 Mar 2022 10:19:34,07 Mar 2022 13:13:17,16 Mar 2022,,Agency Manager
7,Agent,,Amanda Doe,amandadoe@mailinator.com,3535443432,+966523453534,contractual,60,190,JobOffer,07 Mar 2022 13:13:17,,16 Mar 2022,,Mohamed Yakout
1,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,Applied,07 Mar 2022 09:07:23,07 Mar 2022 09:07:48,09 Mar 2022,10 Mar 2022,Mohamed Yakout
2,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,Shortlisted,07 Mar 2022 09:07:48,07 Mar 2022 09:07:51,09 Mar 2022,10 Mar 2022,Mohamed Yakout
3,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,Shared,07 Mar 2022 09:07:51,07 Mar 2022 09:08:46,09 Mar 2022,10 Mar 2022,Mohamed Yakout
4,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,Selected,07 Mar 2022 09:08:46,07 Mar 2022 09:14:14,09 Mar 2022,10 Mar 2022,Agency Manager
5,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,Interview,07 Mar 2022 09:14:14,07 Mar 2022 09:18:48,09 Mar 2022,10 Mar 2022,Mohamed Yakout
6,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,PassInterview,07 Mar 2022 09:18:48,07 Mar 2022 09:20:13,09 Mar 2022,10 Mar 2022,Agency Manager
7,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,JobOffer,07 Mar 2022 09:20:13,07 Mar 2022 09:20:33,09 Mar 2022,10 Mar 2022,Mohamed Yakout
8,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,SecurityClearance,07 Mar 2022 09:20:33,07 Mar 2022 09:20:36,09 Mar 2022,10 Mar 2022,Mohamed Yakout
9,Agent,,Yunis doe,yunis@mailinator.com,2232323244,+966513433434,civilian,60,189,Assessment,07 Mar 2022 09:20:36,,09 Mar 2022,10 Mar 2022,assessment coordinator
1,وظيفة مدير مالي,,internal test,internaltest1@mailinator.com,3633543434,+966513453423,civilian,35,188,Applied,10 Feb 2022 12:41:00,,,,Mohamed Yakout
1,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,Applied,09 Feb 2022 14:55:56,09 Feb 2022 14:59:33,23 Feb 2022,25 Feb 2022,Mohamed Yakout
2,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,Shortlisted,09 Feb 2022 14:59:33,09 Feb 2022 14:59:36,23 Feb 2022,25 Feb 2022,Mohamed Yakout
3,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,Shared,09 Feb 2022 14:59:36,09 Feb 2022 15:00:27,23 Feb 2022,25 Feb 2022,Mohamed Yakout
4,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,Selected,09 Feb 2022 15:00:27,09 Feb 2022 15:01:34,23 Feb 2022,25 Feb 2022,Agency Manager
5,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,Interview,09 Feb 2022 15:01:34,09 Feb 2022 15:03:46,23 Feb 2022,25 Feb 2022,Mohamed Yakout
6,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,PassInterview,09 Feb 2022 15:03:46,09 Feb 2022 15:20:29,23 Feb 2022,25 Feb 2022,Agency Manager
7,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,JobOffer,09 Feb 2022 15:20:29,09 Feb 2022 15:42:16,23 Feb 2022,25 Feb 2022,Mohamed Yakout
8,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,SecurityClearance,09 Feb 2022 15:42:16,09 Feb 2022 15:42:18,23 Feb 2022,25 Feb 2022,Mohamed Yakout
9,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,Assessment,09 Feb 2022 15:42:18,09 Feb 2022 15:55:11,23 Feb 2022,25 Feb 2022,assessment coordinator
10,وظيفة مدير مالي,,cg external 1,cgexternal@mailinator.com,5343434434,+966513434343,contractual,35,187,OnBoarding,09 Feb 2022 15:55:11,,23 Feb 2022,25 Feb 2022,Mohamed Yakout
1,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,Applied,09 Feb 2022 13:41:26,09 Feb 2022 13:42:08,16 Feb 2022,18 Feb 2022,Mohamed Yakout
2,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,Shortlisted,09 Feb 2022 13:42:08,09 Feb 2022 13:42:12,16 Feb 2022,18 Feb 2022,Mohamed Yakout
3,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,Shared,09 Feb 2022 13:42:12,09 Feb 2022 13:43:00,16 Feb 2022,18 Feb 2022,Mohamed Yakout
4,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,Selected,09 Feb 2022 13:43:00,09 Feb 2022 13:44:15,16 Feb 2022,18 Feb 2022,Agency Manager
5,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,Interview,09 Feb 2022 13:44:15,09 Feb 2022 13:47:14,16 Feb 2022,18 Feb 2022,Mohamed Yakout
6,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,PassInterview,09 Feb 2022 13:47:14,09 Feb 2022 13:58:19,16 Feb 2022,18 Feb 2022,Agency Manager
7,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,SecurityClearance,09 Feb 2022 13:58:19,09 Feb 2022 13:58:21,16 Feb 2022,18 Feb 2022,Mohamed Yakout
8,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,JobOffer,09 Feb 2022 13:58:21,09 Feb 2022 13:58:21,16 Feb 2022,18 Feb 2022,Mohamed Yakout
9,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,Assessment,09 Feb 2022 13:58:21,09 Feb 2022 14:26:36,16 Feb 2022,18 Feb 2022,Mohamed Yakout
10,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,JobOffer,09 Feb 2022 14:26:36,09 Feb 2022 14:54:20,16 Feb 2022,18 Feb 2022,Mohamed Yakout
11,وظيفة مدير مالي,,cg internal 3,internal3@mailinator.com,6444343443,+966512353434,civilian,35,186,OnBoarding,09 Feb 2022 14:54:20,,16 Feb 2022,18 Feb 2022,Mohamed Yakout
1,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,Applied,09 Feb 2022 10:27:46,09 Feb 2022 10:28:25,11 Feb 2022,16 Feb 2022,Mohamed Yakout
2,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,Shortlisted,09 Feb 2022 10:28:25,09 Feb 2022 10:28:29,11 Feb 2022,16 Feb 2022,Mohamed Yakout
3,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,Shared,09 Feb 2022 10:28:29,09 Feb 2022 10:29:30,11 Feb 2022,16 Feb 2022,Mohamed Yakout
4,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,Selected,09 Feb 2022 10:29:30,09 Feb 2022 10:30:34,11 Feb 2022,16 Feb 2022,Agency Manager
5,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,Interview,09 Feb 2022 10:30:34,09 Feb 2022 10:32:31,11 Feb 2022,16 Feb 2022,Mohamed Yakout
6,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,PassInterview,09 Feb 2022 10:32:31,09 Feb 2022 11:59:37,11 Feb 2022,16 Feb 2022,Agency Manager
7,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,SecurityClearance,09 Feb 2022 11:59:37,09 Feb 2022 11:59:39,11 Feb 2022,16 Feb 2022,Mohamed Yakout
8,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,JobOffer,09 Feb 2022 11:59:39,09 Feb 2022 11:59:39,11 Feb 2022,16 Feb 2022,Mohamed Yakout
9,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,Assessment,09 Feb 2022 11:59:39,09 Feb 2022 13:25:59,11 Feb 2022,16 Feb 2022,assessment coordinator
10,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,JobOffer,09 Feb 2022 13:25:59,09 Feb 2022 13:39:26,11 Feb 2022,16 Feb 2022,Mohamed Yakout
11,وظيفة مدير مالي,,Cg  internal 2,cg_internal2@mailinator.com,3464434344,+966515093452,civilian,35,185,OnBoarding,09 Feb 2022 13:39:26,,11 Feb 2022,16 Feb 2022,Mohamed Yakout
1,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,Applied,27 Jan 2022 07:45:11,27 Jan 2022 07:45:43,28 Jan 2022,27 Jan 2022,Mohamed Yakout
2,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,Shortlisted,27 Jan 2022 07:45:43,27 Jan 2022 07:45:46,28 Jan 2022,27 Jan 2022,Mohamed Yakout
3,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,Shared,27 Jan 2022 07:45:46,27 Jan 2022 07:47:04,28 Jan 2022,27 Jan 2022,Mohamed Yakout
4,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,Selected,27 Jan 2022 07:47:04,27 Jan 2022 07:48:07,28 Jan 2022,27 Jan 2022,Agency Manager
5,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,Interview,27 Jan 2022 07:48:07,27 Jan 2022 07:52:40,28 Jan 2022,27 Jan 2022,Mohamed Yakout
6,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,PassInterview,27 Jan 2022 07:52:40,27 Jan 2022 08:24:41,28 Jan 2022,27 Jan 2022,Agency Manager
7,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,JobOffer,27 Jan 2022 08:24:41,27 Jan 2022 08:25:02,28 Jan 2022,27 Jan 2022,Mohamed Yakout
8,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,SecurityClearance,27 Jan 2022 08:25:02,27 Jan 2022 08:25:04,28 Jan 2022,27 Jan 2022,Mohamed Yakout
9,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,Assessment,27 Jan 2022 08:25:04,27 Jan 2022 08:56:19,28 Jan 2022,27 Jan 2022,assessment coordinator
10,وظيفة مدير مالي,,Cg Internal,cg_internal@mailinator.com,3454545452,+966514554545,civilian,35,184,OnBoarding,27 Jan 2022 08:56:19,,28 Jan 2022,27 Jan 2022,Mohamed Yakout
1,MUZUMMIL,,santiago doe,santiago@mailinator.com,4435432323,+966525343434,contractual,20,183,Applied,23 Jan 2022 14:49:54,23 Jan 2022 14:50:21,25 Jan 2022,,Mohamed Yakout
2,MUZUMMIL,,santiago doe,santiago@mailinator.com,4435432323,+966525343434,contractual,20,183,Shortlisted,23 Jan 2022 14:50:21,23 Jan 2022 14:50:25,25 Jan 2022,,Mohamed Yakout
3,MUZUMMIL,,santiago doe,santiago@mailinator.com,4435432323,+966525343434,contractual,20,183,Shared,23 Jan 2022 14:50:25,23 Jan 2022 14:52:12,25 Jan 2022,,Mohamed Yakout
4,MUZUMMIL,,santiago doe,santiago@mailinator.com,4435432323,+966525343434,contractual,20,183,Selected,23 Jan 2022 14:52:12,23 Jan 2022 14:53:23,25 Jan 2022,,Agency Manager
5,MUZUMMIL,,santiago doe,santiago@mailinator.com,4435432323,+966525343434,contractual,20,183,Interview,23 Jan 2022 14:53:23,,25 Jan 2022,,Mohamed Yakout
1,مسؤول موارد بشرية,,Robert Taylor,robtaylor@mailinator.com,3455628944,+966534353343,contractual,93,182,Applied,17 Jan 2022 12:30:21,,,,Hiring Manager Recruiter
1,وظيفة مدير مالي,,cat  man,catman@mailinator.com,3546576724,+966514553435,contractual,35,180,Applied,16 Jan 2022 15:27:46,,,,Mohamed Yakout
1,وظيفة مدير مالي,,Rabbit Man,rabbitman@mailinator.com,4545443452,+966514343434,contractual,35,179,Applied,16 Jan 2022 15:23:26,,,,Mohamed Yakout
1,وظيفة مدير مالي,,Special Recruiter,specialrec@mailinator.com,3465656534,+96635345343,contractual,35,178,Applied,16 Jan 2022 08:17:51,16 Jan 2022 13:36:45,,,Mohamed Yakout
2,وظيفة مدير مالي,,Special Recruiter,specialrec@mailinator.com,3465656534,+96635345343,contractual,35,178,Shortlisted,16 Jan 2022 13:36:45,16 Jan 2022 14:06:01,,,Mohamed Yakout
3,وظيفة مدير مالي,,Special Recruiter,specialrec@mailinator.com,3465656534,+96635345343,contractual,35,178,Shared,16 Jan 2022 14:06:01,16 Jan 2022 15:21:21,,,Mohamed Yakout
4,وظيفة مدير مالي,,Special Recruiter,specialrec@mailinator.com,3465656534,+96635345343,contractual,35,178,Selected,16 Jan 2022 15:21:21,,,,Agency Manager
1,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,Applied,14 Mar 2021 14:56:06,14 Mar 2021 14:58:19,24 Mar 2021,,Unit Manager
2,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,Shortlisted,14 Mar 2021 14:58:19,14 Mar 2021 15:00:01,24 Mar 2021,,Recruiter Mod
3,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,Shared,14 Mar 2021 15:00:01,14 Mar 2021 15:00:52,24 Mar 2021,,Recruiter Mod
4,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,Selected,14 Mar 2021 15:00:52,14 Mar 2021 15:01:50,24 Mar 2021,,Unit Manager
5,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,Interview,14 Mar 2021 15:01:50,14 Mar 2021 15:53:59,24 Mar 2021,,Recruiter Mod
6,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,PassInterview,14 Mar 2021 15:53:59,15 Mar 2021 08:06:00,24 Mar 2021,,Agency Manager
7,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,SecurityClearance,15 Mar 2021 08:06:00,15 Mar 2021 08:06:02,24 Mar 2021,,Recruiter Mod
8,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,Assessment,15 Mar 2021 08:06:02,15 Mar 2021 08:06:02,24 Mar 2021,,Recruiter Mod
9,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,JobOffer,15 Mar 2021 08:06:02,27 Dec 2021 14:05:23,24 Mar 2021,,Recruiter Mod
10,test,9933,Salah doe,salahdoe@mailinator.com,5262364235,+96653235234,contractual,107,177,Unsuccessful,27 Dec 2021 14:05:23,,24 Mar 2021,,Recruitment Manager
1,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Applied,03 Mar 2021 13:42:09,03 Mar 2021 13:42:34,25 Mar 2021,15 Mar 2021,Recruiter Mod
2,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Shortlisted,03 Mar 2021 13:42:34,03 Mar 2021 13:42:39,25 Mar 2021,15 Mar 2021,Recruiter Mod
3,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Shared,03 Mar 2021 13:42:39,03 Mar 2021 13:44:44,25 Mar 2021,15 Mar 2021,Recruiter Mod
4,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Selected,03 Mar 2021 13:44:44,03 Mar 2021 13:46:04,25 Mar 2021,15 Mar 2021,Unit Manager
5,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Interview,03 Mar 2021 13:46:04,03 Mar 2021 14:07:11,25 Mar 2021,15 Mar 2021,Recruiter Mod
6,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,PassInterview,03 Mar 2021 14:07:11,03 Mar 2021 14:08:46,25 Mar 2021,15 Mar 2021,Agency Manager
7,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,SecurityClearance,03 Mar 2021 14:08:46,03 Mar 2021 14:08:48,25 Mar 2021,15 Mar 2021,Recruiter Mod
8,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Assessment,03 Mar 2021 14:08:48,03 Mar 2021 14:08:48,25 Mar 2021,15 Mar 2021,Recruiter Mod
9,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,JobOffer,03 Mar 2021 14:08:48,03 Mar 2021 14:42:45,25 Mar 2021,15 Mar 2021,Recruiter Mod
10,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,OnBoarding,03 Mar 2021 14:42:45,03 Mar 2021 15:07:39,25 Mar 2021,15 Mar 2021,Recruitment Manager
11,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Completed,03 Mar 2021 15:07:39,27 Dec 2021 14:04:17,25 Mar 2021,15 Mar 2021,Recruitment Manager
12,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Completed,27 Dec 2021 14:04:17,27 Dec 2021 14:09:12,25 Mar 2021,15 Mar 2021,Recruitment Manager
13,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Completed,27 Dec 2021 14:09:12,02 Feb 2022 10:17:28,25 Mar 2021,15 Mar 2021,Recruitment Manager
14,test,9933,Test External,dsadsa@dsd.com,3123123123,+966312321321,contractual,107,176,Unsuccessful,02 Feb 2022 10:17:28,,25 Mar 2021,15 Mar 2021,Mohamed Yakout
1,test,9933,Test Successful,jdsnfj@nkds.com,7987080980,+966798870980,civilian,107,175,Applied,03 Mar 2021 13:40:27,27 Dec 2021 14:05:22,,,Recruiter Mod
2,test,9933,Test Successful,jdsnfj@nkds.com,7987080980,+966798870980,civilian,107,175,Unsuccessful,27 Dec 2021 14:05:22,,,,Recruitment Manager
1,test,9933,First check,cndjscn@njcdnc.com,3213213214,+966341231231,civilian,107,174,Applied,21 Feb 2021 07:17:45,21 Feb 2021 07:18:22,23 Feb 2021,,Agency Manager
2,test,9933,First check,cndjscn@njcdnc.com,3213213214,+966341231231,civilian,107,174,Shortlisted,21 Feb 2021 07:18:22,21 Feb 2021 07:18:26,23 Feb 2021,,Recruiter Mod
3,test,9933,First check,cndjscn@njcdnc.com,3213213214,+966341231231,civilian,107,174,Shared,21 Feb 2021 07:18:26,21 Feb 2021 07:19:39,23 Feb 2021,,Recruiter Mod
4,test,9933,First check,cndjscn@njcdnc.com,3213213214,+966341231231,civilian,107,174,Selected,21 Feb 2021 07:19:39,21 Feb 2021 07:20:41,23 Feb 2021,,Agency Manager
5,test,9933,First check,cndjscn@njcdnc.com,3213213214,+966341231231,civilian,107,174,Interview,21 Feb 2021 07:20:41,27 Dec 2021 14:05:21,23 Feb 2021,,Recruiter Mod
6,test,9933,First check,cndjscn@njcdnc.com,3213213214,+966341231231,civilian,107,174,Unsuccessful,27 Dec 2021 14:05:21,,23 Feb 2021,,Recruitment Manager
1,test,9933,test test,test.test@gmail.com,7574663646,+966543453636,contractual,107,173,Applied,18 Feb 2021 15:09:24,18 Feb 2021 15:09:28,22 Feb 2021,,Recruiter Mod
2,test,9933,test test,test.test@gmail.com,7574663646,+966543453636,contractual,107,173,Shortlisted,18 Feb 2021 15:09:28,18 Feb 2021 15:09:34,22 Feb 2021,,Recruiter Mod
3,test,9933,test test,test.test@gmail.com,7574663646,+966543453636,contractual,107,173,Shared,18 Feb 2021 15:09:34,18 Feb 2021 15:10:12,22 Feb 2021,,Recruiter Mod
4,test,9933,test test,test.test@gmail.com,7574663646,+966543453636,contractual,107,173,Selected,18 Feb 2021 15:10:12,18 Feb 2021 15:11:00,22 Feb 2021,,Unit Manager
5,test,9933,test test,test.test@gmail.com,7574663646,+966543453636,contractual,107,173,Interview,18 Feb 2021 15:11:00,27 Dec 2021 14:05:20,22 Feb 2021,,Recruiter Mod
6,test,9933,test test,test.test@gmail.com,7574663646,+966543453636,contractual,107,173,Unsuccessful,27 Dec 2021 14:05:20,,22 Feb 2021,,Recruitment Manager
1,PM,,Mohammad Yakout,m.yakout@gmail.com,1534353535,+966544777147,contractual,97,172,Applied,16 Feb 2021 14:51:49,,,,Unit Manager
1,PM,,Bahaa Issa,bahaa.issa@gmail.com,1423424242,+966544777147,contractual,97,171,Applied,16 Feb 2021 13:47:28,16 Feb 2021 13:47:59,18 Feb 2021,01 Mar 2021,Unit Manager
2,PM,,Bahaa Issa,bahaa.issa@gmail.com,1423424242,+966544777147,contractual,97,171,Shortlisted,16 Feb 2021 13:47:59,16 Feb 2021 13:48:11,18 Feb 2021,01 Mar 2021,Recruiter Mod
3,PM,,Bahaa Issa,bahaa.issa@gmail.com,1423424242,+966544777147,contractual,97,171,Shared,16 Feb 2021 13:48:11,16 Feb 2021 13:48:51,18 Feb 2021,01 Mar 2021,Recruiter Mod
4,PM,,Bahaa Issa,bahaa.issa@gmail.com,1423424242,+966544777147,contractual,97,171,Selected,16 Feb 2021 13:48:51,16 Feb 2021 13:49:51,18 Feb 2021,01 Mar 2021,Unit Manager
